channelKey,year,month,uploads_count_Normal,uploads_count_Short,views_total_Normal,views_total_Short,likes_total_Normal,likes_total_Short,comments_total_Normal,comments_total_Short,likes_per_1k_views_Normal,likes_per_1k_views_Short,comments_per_1k_views_Normal,comments_per_1k_views_Short,engagement_per_1k_views_Normal,engagement_per_1k_views_Short,avg_views_per_video_Normal,avg_views_per_video_Short,avg_duration_seconds_Normal,avg_duration_seconds_Short,views_mom_pct_Normal,views_mom_pct_Short,uploads_share_within_channel_month_Normal,uploads_share_within_channel_month_Short,views_share_within_channel_month_Normal,views_share_within_channel_month_Short,likes_per_1k_views_short_minus_normal,likes_per_1k_views_short_div_normal,comments_per_1k_views_short_minus_normal,comments_per_1k_views_short_div_normal,engagement_per_1k_views_short_minus_normal,engagement_per_1k_views_short_div_normal,avg_views_per_video_short_minus_normal,avg_views_per_video_short_div_normal
@NBA,2024,2024-05,282.0,174.0,127612325.0,18115214.0,1262847.0,849933.0,161775.0,20721.0,9.9,46.92,1.27,1.14,11.16,48.06,452525.98,104110.43,2716.65,27.94,-0.0249,0.2421,0.6184,0.3816,0.8757,0.1243,37.02,4.739,-0.13,0.898,36.9,4.306,-348415.55,0.23
@NBA,2024,2024-06,153.0,154.0,54307149.0,13810790.0,486888.0,650111.0,49863.0,15503.0,8.97,47.07,0.92,1.12,9.88,48.2,354948.69,89680.45,2439.81,30.16,-0.5744,-0.2376,0.4984,0.5016,0.7973,0.2027,38.1,5.247,0.2,1.217,38.32,4.879,-265268.24,0.253
@NBA,2024,2024-07,232.0,162.0,73780587.0,67487957.0,864255.0,2628860.0,87896.0,41646.0,11.71,38.95,1.19,0.62,12.91,39.57,318019.77,416592.33,655.78,25.01,0.3586,3.8866,0.5888,0.4112,0.5223,0.4777,27.24,3.326,-0.57,0.521,26.66,3.065,98572.56,1.31
@NBA,2024,2024-08,27.0,20.0,13275463.0,21039004.0,123963.0,830298.0,5891.0,6522.0,9.34,39.46,0.44,0.31,9.78,39.77,491683.81,1051950.2,6290.93,33.35,-0.8201,-0.6883,0.5745,0.4255,0.3869,0.6131,30.12,4.225,-0.13,0.705,29.99,4.066,560266.39,2.139
@NBA,2024,2024-09,26.0,42.0,7207211.0,5685673.0,63251.0,227891.0,4059.0,5466.0,8.78,40.08,0.56,0.96,9.34,41.04,277200.42,135373.17,4552.38,24.98,-0.4571,-0.7298,0.3824,0.6176,0.559,0.441,31.3,4.565,0.4,1.714,31.7,4.394,-141827.25,0.488
@NBA,2024,2024-10,251.0,249.0,76791315.0,34509923.0,845637.0,1214677.0,103189.0,30736.0,11.01,35.2,1.34,0.89,12.36,36.09,305941.49,138594.07,1221.68,36.87,9.6548,5.0696,0.502,0.498,0.6899,0.3101,24.19,3.197,-0.45,0.664,23.73,2.92,-167347.42,0.453
@NBA,2024,2024-11,414.0,274.0,112997555.0,43040380.0,1172410.0,1363151.0,146667.0,31883.0,10.38,31.67,1.3,0.74,11.67,32.41,272940.95,157081.68,1432.78,50.57,0.4715,0.2472,0.6017,0.3983,0.7242,0.2758,21.29,3.051,-0.56,0.569,20.74,2.777,-115859.27,0.576
@NBA,2024,2024-12,428.0,353.0,102276882.0,26053928.0,1072954.0,891120.0,131223.0,22927.0,10.49,34.2,1.28,0.88,11.77,35.08,238964.68,73807.16,1641.57,42.88,-0.0949,-0.3947,0.548,0.452,0.797,0.203,23.71,3.26,-0.4,0.688,23.31,2.98,-165157.52,0.309
@Veritasium,2024,2024-01,2.0,,14576263.0,,380008.0,,45074.0,,26.07,,3.09,,29.16,,7288131.5,,906.5,,,,1.0,,1.0,,,,,,,,,
@Veritasium,2024,2024-02,2.0,2.0,55913760.0,79904006.0,1277071.0,3292958.0,42333.0,24365.0,22.84,41.21,0.76,0.3,23.6,41.52,27956880.0,39952003.0,1953.5,57.0,2.8359,,0.5,0.5,0.4117,0.5883,18.37,1.804,-0.46,0.395,17.92,1.759,11995123.0,1.429
@Veritasium,2024,2024-03,3.0,1.0,49138691.0,6714505.0,1038029.0,210094.0,66200.0,2197.0,21.12,31.29,1.35,0.33,22.47,31.62,16379563.67,6714505.0,1617.0,59.0,-0.1212,-0.916,0.75,0.25,0.8798,0.1202,10.17,1.482,-1.02,0.244,9.15,1.407,-9665058.67,0.41
@Veritasium,2024,2024-04,1.0,4.0,28957499.0,94747864.0,536859.0,4300574.0,26479.0,58253.0,18.54,45.39,0.91,0.61,19.45,46.0,28957499.0,23686966.0,2223.0,59.5,-0.4107,13.1109,0.2,0.8,0.2341,0.7659,26.85,2.448,-0.3,0.67,26.55,2.365,-5270533.0,0.818
@Veritasium,2024,2024-05,2.0,1.0,8102848.0,6887430.0,250633.0,193453.0,12291.0,5644.0,30.93,28.09,1.52,0.82,32.45,28.91,4051424.0,6887430.0,1730.5,25.0,-0.7202,-0.9273,0.6667,0.3333,0.5405,0.4595,-2.84,0.908,-0.7,0.539,-3.54,0.891,2836006.0,1.7
@Veritasium,2024,2024-06,1.0,,4591392.0,,172009.0,,8021.0,,37.46,,1.75,,39.21,,4591392.0,,1023.0,,-0.4334,,1.0,,1.0,,,,,,,,,
@Veritasium,2024,2024-07,1.0,,5219597.0,,93177.0,,4293.0,,17.85,,0.82,,18.67,,5219597.0,,5240.0,,0.1368,,1.0,,1.0,,,,,,,,,
@Veritasium,2024,2024-08,3.0,1.0,26661292.0,7163515.0,725903.0,362886.0,51899.0,11508.0,27.23,50.66,1.95,1.61,29.17,52.26,8887097.33,7163515.0,1346.0,60.0,4.1079,0.0401,0.75,0.25,0.7882,0.2118,23.43,1.86,-0.34,0.826,23.09,1.792,-1723582.33,0.806
@Veritasium,2024,2024-09,2.0,,18876599.0,,623287.0,,25954.0,,33.02,,1.37,,34.39,,9438299.5,,2014.0,,-0.292,,1.0,,1.0,,,,,,,,,
@Veritasium,2024,2024-10,3.0,1.0,36203345.0,31439248.0,865895.0,0.0,33265.0,17122.0,23.92,0.0,0.92,0.54,24.84,0.54,12067781.67,31439248.0,1709.33,58.0,0.9179,3.3888,0.75,0.25,0.5352,0.4648,-23.92,0.0,-0.38,0.587,-24.3,0.022,19371466.33,2.605
@Veritasium,2024,2024-11,3.0,2.0,26493430.0,6469041.0,661604.0,233715.0,40198.0,7240.0,24.97,36.13,1.52,1.12,26.49,37.25,8831143.33,3234520.5,1471.33,86.0,-0.2682,-0.7942,0.6,0.4,0.8037,0.1963,11.16,1.447,-0.4,0.737,10.76,1.406,-5596622.83,0.366
@Veritasium,2024,2024-12,4.0,1.0,28199245.0,18961374.0,717605.0,987741.0,32380.0,13971.0,25.45,52.09,1.15,0.74,26.6,52.83,7049811.25,18961374.0,1406.25,57.0,0.0644,1.9311,0.8,0.2,0.5979,0.4021,26.64,2.047,-0.41,0.643,26.23,1.986,11911562.75,2.69
@Vox,2024,2024-01,2.0,4.0,3613824.0,9194105.0,85403.0,613493.0,5332.0,6521.0,23.63,66.73,1.48,0.71,25.11,67.44,1806912.0,2298526.25,925.5,60.0,,,0.3333,0.6667,0.2822,0.7178,43.1,2.824,-0.77,0.48,42.33,2.686,491614.25,1.272
